Date,Hours,Visitors,Visitors/Hr,Notes
9/10/2013,6,295,49.16666667,
9/11/2013,6,188,31.33333333,
9/12/2013,6,120,20,
9/13/2013,6,265,44.16666667,
9/14/2013,5,285,57,
9/15/2013,3,181,60.33333333,
9/16/2013,3,274,91.33333333,
9/17/2013,6,338,56.33333333,
9/18/2013,6,164,27.33333333,
9/19/2013,5,172,34.4,
9/20/2013,6,252,42,
9/21/2013,6,201,33.5,
9/22/2013,0,138,Closed,
9/23/2013,3,243,81,
9/24/2013,6,228,38,
9/25/2013,5,164,32.8,
9/26/2013,6,48,8,
9/27/2013,6,51,8.5,
9/28/2013,5,64,12.8,
9/29/2013,3,61,20.33333333,
9/30/2013,0,99,Closed,
10/1/2013,6,94,15.66666667,
10/2/2013,5,50,10,
10/3/2013,6,85,14.16666667,
10/4/2013,6,134,22.33333333,
10/5/2013,5,184,36.8,
10/6/2013,3,102,34,
10/7/2013,3,73,24.33333333,
10/8/2013,6,120,20,
10/9/2013,6,90,15,
10/10/2013,6,256,42.66666667,
10/11/2013,6,183,30.5,
10/12/2013,5,199,39.8,
10/13/2013,3,138,46,
10/14/2013,3,116,38.66666667,
10/15/2013,6,118,19.66666667,
10/16/2013,5,135,27,
10/17/2013,6,183,30.5,
10/18/2013,6,168,28,
10/19/2013,5,192,38.4,
10/20/2013,3,128,42.66666667,
10/21/2013,3,29,9.666666667,
10/22/2013,6,97,16.16666667,
10/23/2013,5,55,11,
10/24/2013,6,124,20.66666667,
10/25/2013,6,307,51.16666667,
10/26/2013,5,178,35.6,
10/27/2013,3,77,25.66666667,
10/28/2013,3,91,30.33333333,
10/29/2013,5,75,15,
10/30/2013,6,58,9.666666667,
10/31/2013,4,147,36.75,
11/1/2013,6,184,30.66666667,
11/2/2013,5,263,52.6,
11/3/2013,3,136,45.33333333,
11/4/2013,0,0,Closed,
11/5/2013,6,137,22.83333333,
11/6/2013,6,124,20.66666667,
11/7/2013,6,262,43.66666667,
11/8/2013,6,236,39.33333333,
11/9/2013,5,245,49,
11/10/2013,3,133,44.33333333,
11/11/2013,3,179,59.66666667,
11/12/2013,6,115,19.16666667,
11/13/2013,6,185,30.83333333,
11/14/2013,6,160,26.66666667,
11/15/2013,6,234,39,
11/16/2013,5,233,46.6,
11/17/2013,3,86,28.66666667,
11/18/2013,3,46,15.33333333,
11/19/2013,6,101,16.83333333,
11/20/2013,6,125,20.83333333,
11/21/2013,6,157,26.16666667,
11/22/2013,6,364,60.66666667,
11/23/2013,5,258,51.6,
11/24/2013,3,154,51.33333333,
11/25/2013,3,121,40.33333333,
11/26/2013,5,209,41.8,
11/27/2013,6,264,44,
11/28/2013,0,0,Closed,
11/29/2013,6,300,50,
11/30/2013,5,300,60,
12/1/2013,3,90,30,
12/2/2013,3,51,17,
12/3/2013,6,112,18.66666667,
12/4/2013,5,133,26.6,
12/5/2013,5,105,21,
12/6/2013,5,257,51.4,
12/7/2013,5,165,33,
12/8/2013,3,69,23,
12/9/2013,3,44,14.66666667,
12/10/2013,5,148,29.6,
12/11/2013,6,151,25.16666667,
12/12/2013,6,120,20,
12/13/2013,6,157,26.16666667,
12/14/2013,5,192,38.4,
12/15/2013,3,81,27,
12/16/2013,3,32,10.66666667,
12/17/2013,5,52,10.4,
12/18/2013,6,107,17.83333333,
12/19/2013,6,122,20.33333333,
12/20/2013,5,65,13,
12/21/2013,5,136,27.2,
12/22/2013,3,76,25.33333333,
12/23/2013,3,205,68.33333333,
12/24/2013,0,0,Closed,
12/25/2013,0,0,Closed,
12/26/2013,6,282,47,
12/27/2013,6,338,56.33333333,
12/28/2013,5,281,56.2,
12/29/2013,3,199,66.33333333,
12/30/2013,3,207,69,
12/31/2013,0,0,Closed,
1/1/2014,0,0,Closed,
1/2/2014,6,241,40.16666667,
1/3/2014,6,303,50.5,
1/4/2014,5,273,54.6,
1/5/2014,3,122,40.66666667,
1/6/2014,3,73,24.33333333,
1/7/2014,6,62,10.33333333,
1/8/2014,6,144,24,
1/9/2014,6,243,40.5,
1/10/2014,6,204,34,
1/11/2014,5,280,56,
1/12/2014,3,132,44,
1/13/2014,2,78,39,
1/14/2014,6,73,12.16666667,
1/15/2014,6,102,17,
1/16/2014,6,189,31.5,
1/17/2014,6,164,27.33333333,
1/18/2014,6,343,57.16666667,
1/19/2014,3,203,67.66666667,
1/20/2014,3,195,65,
1/21/2014,6,226,37.66666667,
1/22/2014,5,67,13.4,
1/23/2014,6,76,12.66666667,
1/24/2014,6,156,26,
1/25/2014,5,287,57.4,
1/26/2014,3,167,55.66666667,
1/27/2014,3,25,8.333333333,
1/28/2014,4,29,7.25,
1/29/2014,0,0,Closed,
1/30/2014,4,59,14.75,
1/31/2014,5,109,21.8,
2/1/2014,5,283,56.6,
2/2/2014,3,138,46,
2/3/2014,3,22,7.333333333,
2/4/2014,6,166,27.66666667,
2/5/2014,6,194,32.33333333,
