Date,Hours,Visitors,Visitors/Hr,Notes
4/22/2014,6,281,46.83333333,
4/23/2014,2.5,75,30,
4/24/2014,3,126,42,
4/25/2014,6,134,22.33333333,
4/26/2014,6,99,16.5,
4/27/2014,3,27,9,
4/28/2014,6,67,11.16666667,
4/29/2014,6,92,15.33333333,
4/30/2014,0,0,Closed,Classes
5/1/2014,3,64,21.33333333,
5/2/2014,2,0,0,
5/3/2014,6,104,17.33333333,
5/4/2014,3,37,12.33333333,
5/5/2014,6,43,7.166666667,
5/6/2014,6,121,20.16666667,
5/7/2014,6,8,1.333333333,
5/8/2014,2,33,16.5,
5/9/2014,3,61,20.33333333,
5/10/2014,6,56,9.333333333,
5/11/2014,3,37,12.33333333,
5/12/2014,6,39,6.5,
5/13/2014,6,61,10.16666667,
5/14/2014,2,9,4.5,
5/15/2014,3,85,28.33333333,
5/16/2014,3,68,22.66666667,
5/17/2014,6,132,22,
5/18/2014,3,28,9.333333333,
5/19/2014,6,45,7.5,
5/20/2014,6,130,21.66666667,
5/21/2014,0,0,Closed,Classes
5/22/2014,0,0,Closed,Classes
5/23/2014,2,0,0,
5/24/2014,6,135,22.5,
5/25/2014,3,73,24.33333333,
5/26/2014,6,65,10.83333333,
5/27/2014,6,13,2.166666667,
5/28/2014,2,4,2,
5/29/2014,3,0,0,
5/30/2014,6,0,0,
5/31/2014,6,33,5.5,
6/1/2014,3,41,13.66666667,
6/2/2014,6,51,8.5,
6/3/2014,6,20,3.333333333,
6/4/2014,6,8,1.333333333,
6/5/2014,3,42,14,
6/6/2014,6,82,13.66666667,
6/7/2014,6,81,13.5,
6/8/2014,3,62,20.66666667,
6/9/2014,6,76,12.66666667,
6/10/2014,6,26,4.333333333,
6/11/2014,6,49,8.166666667,
6/12/2014,3,27,9,
6/13/2014,6,13,2.166666667,
6/14/2014,6,107,17.83333333,
6/15/2014,3,61,20.33333333,
6/16/2014,6,57,9.5,
6/17/2014,6,133,22.16666667,
6/18/2014,6,128,21.33333333,
6/19/2014,3,86,28.66666667,
6/20/2014,2,25,12.5,
6/21/2014,6,121,20.16666667,
6/22/2014,3,47,15.66666667,
6/23/2014,6,110,18.33333333,
6/24/2014,6,83,13.83333333,
6/25/2014,6,156,26,
6/26/2014,3,52,17.33333333,
6/27/2014,6,67,11.16666667,
6/28/2014,6,80,13.33333333,
6/29/2014,3,56,18.66666667,
6/30/2014,6,123,20.5,
7/1/2014,6,103,17.16666667,
7/2/2014,6,167,27.83333333,
7/3/2014,3,63,21,
7/4/2014,6,81,13.5,
7/5/2014,6,73,12.16666667,
7/6/2014,3,69,23,
7/7/2014,6,101,16.83333333,
7/8/2014,6,124,20.66666667,
7/9/2014,6,134,22.33333333,
7/10/2014,3,57,19,
7/11/2014,6,110,18.33333333,
7/12/2014,6,137,22.83333333,
7/13/2014,3,67,22.33333333,
7/14/2014,6,92,15.33333333,
7/15/2014,0,0,Closed,Summer Camp
7/16/2014,6,85,14.16666667,
7/17/2014,3,49,16.33333333,
7/18/2014,3,80,26.66666667,
7/19/2014,6,162,27,
7/20/2014,3,98,32.66666667,
7/21/2014,6,111,18.5,
7/22/2014,3,93,31,
7/23/2014,6,159,26.5,
7/24/2014,3,66,22,
7/25/2014,6,70,11.66666667,
7/26/2014,6,143,23.83333333,
7/27/2014,3,69,23,
7/28/2014,6,148,24.66666667,
7/29/2014,6,71,11.83333333,
7/30/2014,6,65,10.83333333,
7/31/2014,3,30,10,
8/1/2014,0,0,Closed,St. Mary's Camp
8/2/2014,6,101,16.83333333,
8/3/2014,3,125,41.66666667,
8/4/2014,6,35,5.833333333,
8/5/2014,6,33,5.5,
8/6/2014,6,89,14.83333333,
8/7/2014,3,8,2.666666667,
8/8/2014,6,55,9.166666667,
8/9/2014,6,254,42.33333333,
8/10/2014,3,111,37,
8/11/2014,6,98,16.33333333,
8/12/2014,6,88,14.66666667,
8/13/2014,6,62,10.33333333,
8/14/2014,3,44,14.66666667,
8/15/2014,6,60,10,
8/16/2014,6,118,19.66666667,
8/17/2014,3,32,10.66666667,
8/18/2014,6,136,22.66666667,
8/19/2014,6,56,9.333333333,
8/20/2014,6,50,8.333333333,
8/21/2014,3,3,1,
8/22/2014,4.5,40,8.888888889,
8/23/2014,6,102,17,
8/24/2014,3,46,15.33333333,
8/25/2014,6,33,5.5,
8/26/2014,6,6,1,
8/27/2014,6,14,2.333333333,
8/28/2014,3,0,0,
8/29/2014,5,9,1.8,
8/30/2014,6,154,25.66666667,
8/31/2014,3,109,36.33333333,
9/1/2014,6,125,20.83333333,
9/2/2014,6,16,2.666666667,
9/3/2014,6,11,1.833333333,
9/4/2014,3,0,0,
9/5/2014,6,33,5.5,
9/6/2014,6,58,9.666666667,
9/7/2014,3,29,9.666666667,
9/8/2014,6,4,0.6666666667,
9/9/2014,6,14,2.333333333,
9/10/2014,6,26,4.333333333,
9/11/2014,3,0,0,
9/12/2014,5,4,0.8,
9/13/2014,6,126,21,
9/14/2014,3,37,12.33333333,
9/15/2014,6,14,2.333333333,
9/16/2014,6,13,2.166666667,
9/17/2014,6,9,1.5,
9/18/2014,3,0,0,
9/19/2014,6,29,4.833333333,
9/20/2014,6,577,96.16666667,
9/21/2014,3,50,16.66666667,
9/22/2014,6,19,3.166666667,
9/23/2014,6,29,4.833333333,
9/24/2014,6,8,1.333333333,
9/25/2014,3,13,4.333333333,
9/26/2014,6,51,8.5,
9/27/2014,6,88,14.66666667,
9/28/2014,3,44,14.66666667,
9/29/2014,0,0,Closed,Staff Development
9/30/2014,6,27,4.5,
10/1/2014,6,63,10.5,
10/2/2014,3,11,3.666666667,
10/3/2014,6,83,13.83333333,
10/4/2014,6,66,11,
10/5/2014,3,33,11,
10/6/2014,6,14,2.333333333,
10/7/2014,6,23,3.833333333,
10/8/2014,6,34,5.666666667,
10/9/2014,3,22,7.333333333,
10/10/2014,6,31,5.166666667,
10/11/2014,6,145,24.16666667,
10/12/2014,3,41,13.66666667,
10/13/2014,6,94,15.66666667,
10/14/2014,6,44,7.333333333,
10/15/2014,6,45,7.5,
10/16/2014,6,86,14.33333333,
10/17/2014,6,96,16,
10/18/2014,6,89,14.83333333,
10/19/2014,3,61,20.33333333,
10/20/2014,6,74,12.33333333,
10/21/2014,6,178,29.66666667,
10/22/2014,6,48,8,
10/23/2014,0,0,Closed,Classes
10/24/2014,5,126,25.2,
10/25/2014,6,84,14,
10/26/2014,3,8,2.666666667,
10/27/2014,6,35,5.833333333,
10/28/2014,3,16,5.333333333,
10/29/2014,6,57,9.5,
10/30/2014,6,65,10.83333333,
10/31/2014,6,19,3.166666667,
11/1/2014,0,0,Closed,No Staffing
11/2/2014,3,58,19.33333333,
11/3/2014,6,86,14.33333333,
11/4/2014,6,14,2.333333333,
11/5/2014,6,76,12.66666667,
11/6/2014,0,0,Closed,Classes
11/7/2014,4,147,36.75,
11/8/2014,6,137,22.83333333,
11/9/2014,3,89,29.66666667,
11/10/2014,6,135,22.5,
11/11/2014,6,166,27.66666667,
11/12/2014,6,117,19.5,
11/13/2014,0,0,Closed,Classes
11/14/2014,3,29,9.666666667,
11/15/2014,6,147,24.5,
11/16/2014,3,90,30,
11/17/2014,6,20,3.333333333,
11/18/2014,6,159,26.5,
11/19/2014,6,124,20.66666667,
11/20/2014,0,0,Closed,Classes
11/21/2014,2,9,4.5,
11/22/2014,6,115,19.16666667,
11/23/2014,3,48,16,
11/24/2014,6,31,5.166666667,
11/25/2014,6,105,17.5,
11/26/2014,6,98,16.33333333,
11/27/2014,0,0,Closed,Thanksgiving
11/28/2014,6,341,56.83333333,
11/29/2014,6,247,41.16666667,
11/30/2014,3,25,8.333333333,
12/1/2014,6,7,1.166666667,
12/2/2014,2,2,1,
12/3/2014,6,39,6.5,
12/4/2014,0,0,Closed,Classes
12/5/2014,0,0,Closed,No Staffing
12/6/2014,6,106,17.66666667,
12/7/2014,3,24,8,
12/8/2014,6,7,1.166666667,
12/9/2014,6,20,3.333333333,
12/10/2014,6,53,8.833333333,
12/11/2014,0,0,Closed,Classes
12/12/2014,3,9,3,
12/13/2014,6,72,12,
12/14/2014,3,18,6,
12/15/2014,6,74,12.33333333,
12/16/2014,6,25,4.166666667,
12/17/2014,6,20,3.333333333,
12/18/2014,0,0,Closed,Classes
12/19/2014,6,43,7.166666667,
12/20/2014,6,105,17.5,
12/21/2014,3,55,18.33333333,
12/22/2014,6,144,24,
12/23/2014,6,90,15,
12/24/2014,0,0,Closed,Christmas Eve
12/25/2014,0,0,Closed,Christmas
12/26/2014,6,93,15.5,
12/27/2014,6,184,30.66666667,
12/28/2014,3,65,21.66666667,
12/29/2014,6,331,55.16666667,
12/30/2014,6,285,47.5,
12/31/2014,0,0,Closed,New Year's Eve
