Date,Hours,Visitors,Visitors/Hr,Notes
9/15/2013,3,22,,
9/16/2013,3,18,,
9/17/2013,6,18,,
9/18/2013,0,0,,
9/19/2013,2,8,,
9/20/2013,6,32,,
9/21/2013,0,0,,
9/22/2013,0,0,,
9/23/2013,3,7,,
9/24/2013,0,0,,
9/25/2013,6,36,,
9/26/2013,8,24,,
9/27/2013,6,26,,
9/28/2013,6,66,,
9/29/2013,3,43,,
9/30/2013,0,0,,
10/1/2013,6,35,,
10/2/2013,6,13,,
10/3/2013,5,16,,
10/4/2013,3,23,,
10/5/2013,6,117,,
10/6/2013,3,68,,
10/7/2013,3,39,,
10/8/2013,6,39,,
10/9/2013,6,34,,
10/10/2013,3,90,,
10/11/2013,6,91,,
10/12/2013,6,78,,
10/13/2013,3,79,,
10/14/2013,0,0,,
10/15/2013,6,43,,
10/16/2013,3,45,,
10/17/2013,5,16,,
10/18/2013,3,45,,
10/19/2013,6,120,,
10/20/2013,3,47,,
10/21/2013,3,12,,
10/22/2013,6,22,,
10/23/2013,6,7,,
10/24/2013,8,167,,
10/25/2013,6,44,,
10/26/2013,6,105,,
10/27/2013,3,46,,
10/28/2013,3,29,,
10/29/2013,6,18,,
10/30/2013,6,14,,
10/31/2013,6,85,,
11/1/2013,9,113,,
11/2/2013,6,94,,
11/3/2013,3,32,,
11/4/2013,3,44,,
11/5/2013,4,21,,
11/6/2013,6,40,,
11/7/2013,6,113,,
11/8/2013,6,90,,
11/9/2013,6,151,,
11/10/2013,3,81,,
11/11/2013,3,94,,
11/12/2013,3,17,,
11/13/2013,6,41,,
11/14/2013,8,87,,
11/15/2013,6,108,,
11/16/2013,6,149,,
11/17/2013,3,63,,
11/18/2013,3,12,,
11/19/2013,6,18,,
11/20/2013,3,17,,
11/21/2013,8,71,,
11/22/2013,3,55,,
11/23/2013,6,128,,
11/24/2013,3,75,,
11/25/2013,3,65,,
11/26/2013,6,112,,
11/27/2013,6,140,,
11/28/2013,0,0,,
11/29/2013,6,150,,
11/30/2013,6,141,,
12/1/2013,3,69,,
12/2/2013,3,45,,
12/3/2013,3,2,,
12/4/2013,6,12,,
12/5/2013,5,13,,
12/6/2013,6,105,,
12/7/2013,6,109,,
12/8/2013,3,52,,
12/9/2013,3,19,,
12/10/2013,6,69,,
12/11/2013,6,20,,
12/12/2013,9,74,,
12/13/2013,6,77,,
12/14/2013,6,136,,
12/15/2013,3,45,,
12/16/2013,3,41,,
12/17/2013,6,20,,
12/18/2013,6,17,,
12/19/2013,9,182,,
12/20/2013,6,31,,
12/21/2013,6,86,,
12/22/2013,3,63,,
12/23/2013,3,60,,
12/24/2013,0,0,,
12/25/2013,0,0,,
12/26/2013,9,178,,
12/27/2013,6,178,,
12/28/2013,6,156,,
12/29/2013,3,104,,
12/30/2013,3,75,,
12/31/2013,0,0,,
1/1/2014,0,0,,
1/2/2014,9,162,,
1/3/2014,6,147,,
1/4/2014,6,128,,
1/5/2014,3,61,,
1/6/2014,3,26,,
1/7/2014,6,18,,
1/8/2014,3,44,,
1/9/2014,9,99,,
1/10/2014,6,64,,
1/11/2014,6,119,,
1/12/2014,3,70,,
1/13/2014,3,58,,
1/14/2014,6,25,,
1/15/2014,6,33,,
1/16/2014,8,233,,
1/17/2014,6,145,,
1/18/2014,6,74,,
1/19/2014,3,78,,
1/20/2014,3,82,,
1/21/2014,0,0,,
1/22/2014,6,68,,
1/23/2014,6,14,,
1/24/2014,3,34,,
1/25/2014,6,315,,
1/26/2014,3,143,,
1/27/2014,3,3,,
1/28/2014,4,54,,
1/29/2014,0,0,,
1/30/2014,9,38,,
1/31/2014,6,69,,
2/1/2014,6,141,,
2/2/2014,3,61,,
2/3/2014,3,20,,
2/4/2014,6,57,,
2/5/2014,3,45,,
2/6/2014,6,66,,
2/7/2014,4,75,,
2/8/2014,6,155,,
2/9/2014,3,63,,
2/10/2014,3,26,,
2/11/2014,6,15,,
2/12/2014,0,0,,
2/13/2014,0,0,,
2/14/2014,4,29,,
2/15/2014,6,153,,
2/16/2014,3,99,,
2/17/2014,3,24,,
2/18/2014,3,0,,
2/19/2014,3,20,,
2/20/2014,6,108,,
2/21/2014,2,22,,
2/22/2014,6,147,,
2/23/2014,3,65,,
2/24/2014,3,29,,
2/25/2014,6,45,,
2/26/2014,6,105,,
2/27/2014,6,51,,
2/28/2014,6,148,,
3/1/2014,6,160,,
3/2/2014,3,73,,
3/3/2014,3,0,,
3/4/2014,4,31,,
3/5/2014,3,5,,
3/6/2014,3,55,,
3/7/2014,6,50,,
3/8/2014,6,123,,
3/9/2014,3,68,,
3/10/2014,3,0,,
3/11/2014,6,80,,
3/12/2014,3,28,,
3/13/2014,3,42,,
3/14/2014,6,87,,
3/15/2014,6,155,,
3/16/2014,3,110,,
3/17/2014,3,21,,
3/18/2014,6,57,,
3/19/2014,3,45,,
3/20/2014,6,98,,
3/21/2014,6,145,,
3/22/2014,6,87,,
3/23/2014,3,82,,
3/24/2014,3,37,,
3/25/2014,2,18,,
3/26/2014,0,0,,
3/27/2014,6,120,,
3/28/2014,3,84,,
3/29/2014,6,169,,
3/30/2014,3,101,,
3/31/2014,3,55,,
4/1/2014,6,115,,
4/2/2014,3,63,,
4/3/2014,6,55,,
4/4/2014,6,111,,
4/5/2014,6,138,,
4/6/2014,3,70,,
4/7/2014,3,85,,
4/8/2014,6,125,,
4/9/2014,6,135,,
4/10/2014,6,55,,
4/11/2014,6,112,,
4/12/2014,6,100,,
4/13/2014,3,50,,
4/14/2014,3,58,,
4/15/2014,3,90,,
4/16/2014,6,163,,
4/17/2014,6,163,,
4/18/2014,6,134,,
4/19/2014,6,141,,
4/20/2014,3,35,,
4/21/2014,3,60,,
4/22/2014,6,137,,
4/23/2014,0,0,,
4/24/2014,3,37,,
4/25/2014,3,36,,
4/26/2014,6,106,,
4/27/2014,3,68,,
4/28/2014,3,89,,
4/29/2014,6,79,,
4/30/2014,3,53,,
5/1/2014,3,37,,
5/2/2014,6,79,,
5/3/2014,6,73,,
5/4/2014,3,45,,
5/5/2014,3,15,,
5/6/2014,6,100,,
5/7/2014,6,91,,
5/8/2014,6,73,,
5/9/2014,6,130,,
5/10/2014,6,86,,
